FIPS,p_all,p_blm,p_dod,p_doe,p_nps,p_usfs,p_usfws
46103,0.3975619891951794,0.009142540518077296,8.31140047097936e-4,0,0.054439673084914805,0.33314863554508933,0
49005,0.38195587751070137,3.2927230819888045e-4,0,0,0,0.38162660520250247,0
27079,0.0016420361247947454,0,0,0,0,0,0.0016420361247947454
55107,4.154549231408392e-4,4.154549231408392e-4,0,0,0,0,0
41067,0.029286474973375932,0.026091586794462194,0,0,0,0,0.003194888178913738
41031,0.2799566630552546,0.036619718309859155,0,0,0,0.24333694474539544,0
16051,0.4929873772791024,0.27279102384291726,0,0.2009116409537167,0,0,0.019284712482468443
31091,5.353319057815846e-4,5.353319057815846e-4,0,0,0,0,0
31087,0,0,0,0,0,0,0
35021,0.052488687782805424,1.8099547511312217e-4,0,0,0,0.052307692307692305,0
27151,0.0159547092125579,0,0,0,0,0,0.0159547092125579
55067,0.052124397722295226,0,0,0,0,0.052124397722295226,0
31157,0.012933264355923435,0,0,0,0.006725297465080186,0,0.006207966890843249
35041,0.04250629722921914,0.0033060453400503777,0.0371536523929471,0,0,0,0.0020465994962216624
27097,0.07267833109017496,0,0.06998654104979811,0,0,0,0.0026917900403768506
56045,0.2009677419354839,0.04887096774193549,0,0,0,0.1520967741935484,0
27057,3.8804811796662784e-4,3.8804811796662784e-4,0,0,0,0,0
38101,0.018651092690278825,1.8839487565938207e-4,0.0037678975131876413,0,0,0,0.0146948003014318
27001,0.014230019493177388,0,0,0,0,0,0.014230019493177388
01021,0.05057096247960848,0,0,0,0,0.05057096247960848,0
08105,0.5919831223628692,0.09324894514767933,0,0,0,0.47552742616033755,0.023206751054852322
27093,0.011329755515802028,0,0,0,0,0,0.011329755515802028
08091,0.47867647058823526,0.06985294117647059,0,0,0,0.4088235294117647,0
16027,0.027458492975734355,0.02490421455938697,0,0,0,0,0.002554278416347382
27121,0.029601722282023683,0,0,0,0,0,0.029601722282023683
55083,0.21872659176029963,0,0,0,0,0.21835205992509363,3.745318352059925e-4
55125,0.08438818565400844,0,0,0,0,0.08438818565400844,0
12121,0,0,0,0,0,0,0
53031,0.5710244493837139,0,0.002222671246716508,0,0.43241058799757526,0.1363911901394221,0
56041,0.3866074731779504,0.35886052534221236,0,0,0,0.02774694783573807,0
38083,0.02053231939163498,3.8022813688212925e-4,0,0,0,0,0.02015209125475285
16061,0.00878594249201278,0.00878594249201278,0,0,0,0,0
55043,0.011389521640091117,0,0,0,0,0,0.011389521640091117
08043,0.4646999495713565,0.35879979828542613,0.006303580433686334,0,0,0.09959657085224408,0
31071,0,0,0,0,0,0,0
30091,0.037398005439709885,2.2665457842248413e-4,0,0,0,0,0.0371713508612874
12005,0.05078125,4.3402777777777775e-4,0.049479166666666664,0,0,8.680555555555555e-4,0
31063,0,0,0,0,0,0,0
27111,0.01658890616899948,0,0,0,0,0,0.01658890616899948
41023,0.6091600444330513,0.060070067504058786,0,0,0,0.5490899769289925,0
