"","EPAREGION","State","County","Risk","Governance","Built Environment","Natural Environment","Society","CRSI"
"311",3,"Virginia","King William","0.105",0.764,0.397,0.541,0.648,13.526
"312",3,"Virginia","Lancaster","0.301",0.719,0.322,0.597,0.711,4.793
"313",3,"Virginia","Lee","0.141",0.339,0.37,0.338,0.418,-0.164
"314",3,"Virginia","Lexington","0.24",0.621,0.067,0.078,0.681,-2.798
"315",3,"Virginia","Loudoun","0.704",0.791,0.517,0.365,0.618,1.821
"316",3,"Virginia","Louisa","0.156",0.752,0.476,0.366,0.501,5.777
"317",3,"Virginia","Lunenburg","0.113",0.663,0.282,0.42,0.533,4.363
"318",3,"Virginia","Lynchburg","0.507",0.693,0.227,0.134,0.436,-1.017
"319",3,"Virginia","Madison","0.136",0.571,0.35,0.451,0.657,6.658
"320",3,"Virginia","Manassas","0.435",0.749,0.236,0.115,0.712,0.139
"321",3,"Virginia","Manassas Park","0.395",0.777,0.147,0.108,0.584,-1.061
"322",3,"Virginia","Martinsville","0.46",0.505,0.055,0.16,0.519,-2.032
"323",3,"Virginia","Mathews","0.232",0.698,0.264,0.735,0.702,6.852
"324",3,"Virginia","Mecklenburg","0.116",0.608,0.41,0.411,0.597,7.637
"325",3,"Virginia","Middlesex","0.253",0.727,0.317,0.631,0.632,5.394
"326",3,"Virginia","Montgomery","0.288",0.472,0.443,0.39,0.487,1.966
"327",3,"Virginia","Nelson","0.15",0.492,0.417,0.375,0.485,3.184
"328",3,"Virginia","New Kent","0.164",0.751,0.422,0.499,0.622,8.082
"329",3,"Virginia","Newport News","0.558",0.708,0.311,0.556,0.461,1.445
"330",3,"Virginia","Norfolk","0.523",0.725,0.294,0.386,0.433,0.587
"331",3,"Virginia","Northampton","0.209",0.693,0.335,0.673,0.561,6.402
"332",3,"Virginia","Northumberland","0.214",0.711,0.355,0.557,0.612,5.744
"333",3,"Virginia","Norton","0.551",0.334,0.026,0.24,0.526,-1.771
"334",3,"Virginia","Nottoway","0.128",0.669,0.298,0.431,0.53,4.409
"335",3,"Virginia","Orange","0.158",0.773,0.393,0.392,0.502,4.864
"336",3,"Virginia","Page","0.125",0.619,0.399,0.505,0.589,8.646
"337",3,"Virginia","Patrick","0.156",0.448,0.369,0.309,0.522,1.382
