tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Cahokia,Time 1 only,2.6666666666666665,NaN,39.170861574107235,-89.11000622833211,NaN,NaN,39.172868233486476,-89.11157636251184,NaN,NaN,54,54,1,NaN,NaN
Calusa,Time 1 only,5.6875,NaN,26.871316734109673,-81.30783721554788,NaN,NaN,NaN,NaN,NaN,NaN,17,17,1,NaN,NaN
Canarsie,Time 1 only,3,NaN,40.67359111909953,-73.8831128300524,NaN,NaN,40.673610053771526,-73.88314995738801,NaN,NaN,2,2,1,NaN,NaN
Car-I-se,Time 1 only,6.5,NaN,35.23453346797216,-118.60577693045695,NaN,NaN,35.24120542343882,-118.6071457168707,NaN,NaN,8,8,1,NaN,NaN
Cas-son,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
Cas-take,Time 1 only,6.5,NaN,35.23453346797216,-118.60577693045695,NaN,NaN,35.24120542343882,-118.6071457168707,NaN,NaN,8,8,1,NaN,NaN
Cha,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Cha-nel-kai,Time 1 only,6.25,NaN,38.64053340256244,-122.23114446527605,NaN,NaN,38.64104134934408,-122.23001132902802,NaN,NaN,4,4,1,NaN,NaN
Cham-et-ko,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Chap-pah-sim,Time 1 only,6.4,NaN,37.91124402742752,-120.83890360849057,NaN,NaN,37.91358947386725,-120.83963530457049,NaN,NaN,10,10,1,NaN,NaN
Che-com,Time 1 only,6.25,NaN,38.64053340256244,-122.23114446527605,NaN,NaN,38.64104134934408,-122.23001132902802,NaN,NaN,4,4,1,NaN,NaN
Che-no,Time 1 only,5.8,NaN,39.727836552999484,-121.31008512444531,NaN,NaN,39.729368787140345,-121.30914928742234,NaN,NaN,5,5,1,NaN,NaN
Cheraw,Time 1 only,3.3846153846153846,NaN,34.70286443572447,-78.90414992981573,NaN,NaN,34.70727067489434,-78.90777526089191,NaN,NaN,39,39,1,NaN,NaN
Cheroenhaka,Time 1 only,3.2142857142857144,NaN,36.98070569453785,-77.71295320492732,NaN,NaN,36.98216402394254,-77.71276203094382,NaN,NaN,14,14,1,NaN,NaN
Cho-e-nem-nee,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
